"V1" "V2"
"217" "no" "blue"
"218" "no" "blue"
"219" "no" "blue"
"220" "no" "blue"
"221" "no" "blue"
"222" "no" "blue"
"223" "no" "blue"
"224" "no" "blue"
"225" "no" "blue"
"226" "no" "blue"
"227" "no" "blue"
"228" "no" "blue"
"229" "no" "blue"
"230" "6124.fastaAT2G14080.bed.fasta.70.txt" "green"
"231" "6125.fastaAT2G14080.bed.fasta.70.txt" "green"
"232" "6126.fastaAT2G14080.bed.fasta.70.txt" "green"
"233" "no" "blue"
"234" "no" "blue"
"235" "6132.fastaAT2G14080.bed.fasta.70.txt" "green"
"236" "no" "blue"
"237" "no" "blue"
"238" "no" "blue"
"239" "no" "blue"
"240" "no" "blue"
"241" "no" "blue"
"242" "no" "blue"
"243" "no" "blue"
"244" "no" "blue"
"245" "no" "blue"
"246" "no" "blue"
"247" "6150.fastaAT2G14080.bed.fasta.70.txt" "green"
"248" "no" "blue"
"249" "6153.fastaAT2G14080.bed.fasta.70.txt" "green"
"250" "no" "blue"
"251" "no" "blue"
"252" "no" "blue"
"253" "no" "blue"
"254" "no" "blue"
"255" "no" "blue"
"256" "no" "blue"
"257" "no" "blue"
"258" "6180.fastaAT2G14080.bed.fasta.70.txt" "green"
"259" "6184.fastaAT2G14080.bed.fasta.70.txt" "green"
"260" "no" "blue"
"261" "no" "blue"
"262" "6191.fastaAT2G14080.bed.fasta.70.txt" "green"
"263" "no" "blue"
"264" "no" "blue"
"265" "no" "blue"
"266" "no" "blue"
"267" "no" "blue"
"268" "6202.fastaAT2G14080.bed.fasta.70.txt" "green"
"269" "no" "blue"
"270" "no" "blue"
"271" "6210.fastaAT2G14080.bed.fasta.70.txt" "green"
"272" "no" "blue"
"273" "no" "blue"
"274" "no" "blue"
"275" "6218.fastaAT2G14080.bed.fasta.70.txt" "green"
"276" "6220.fastaAT2G14080.bed.fasta.70.txt" "green"
"277" "no" "blue"
"278" "6231.fastaAT2G14080.bed.fasta.70.txt" "green"
"279" "no" "blue"
"280" "6237.fastaAT2G14080.bed.fasta.70.txt" "green"
"281" "no" "blue"
"282" "no" "blue"
"283" "no" "blue"
"284" "no" "blue"
"285" "no" "blue"
"286" "6244.fastaAT2G14080.bed.fasta.70.txt" "green"
"287" "no" "blue"
"288" "no" "blue"
"289" "no" "blue"
"290" "6268.fastaAT2G14080.bed.fasta.70.txt" "green"
"291" "no" "blue"
"292" "6284.fastaAT2G14080.bed.fasta.70.txt" "green"
"293" "no" "blue"
"294" "no" "blue"
"295" "no" "blue"
"296" "no" "blue"
"297" "no" "blue"
"298" "no" "blue"
"299" "no" "blue"
"300" "no" "blue"
"301" "no" "blue"
"302" "no" "blue"
"303" "no" "blue"
"304" "no" "blue"
"305" "no" "blue"
"306" "no" "blue"
"307" "no" "blue"
"308" "no" "blue"
"309" "no" "blue"
"310" "no" "blue"
"311" "6900.fastaAT2G14080.bed.fasta.70.txt" "green"
"312" "no" "blue"
"313" "no" "blue"
"314" "no" "blue"
"315" "no" "blue"
"316" "no" "blue"
"317" "no" "blue"
"318" "no" "blue"
"319" "no" "blue"
"320" "no" "blue"
"321" "no" "blue"
"322" "no" "blue"
"323" "no" "blue"
"324" "no" "blue"
"325" "no" "blue"
"326" "no" "blue"
"327" "no" "blue"
"328" "no" "blue"
"329" "no" "blue"
"330" "no" "blue"
"331" "no" "blue"
"332" "no" "blue"
"333" "no" "blue"
"334" "no" "blue"
"335" "no" "blue"
"336" "no" "blue"
"337" "no" "blue"
"338" "no" "blue"
"339" "no" "blue"
"340" "6957.fastaAT2G14080.bed.fasta.70.txt" "green"
"341" "6958.fastaAT2G14080.bed.fasta.70.txt" "red"
"342" "no" "blue"
"343" "no" "blue"
"344" "no" "blue"
"345" "no" "blue"
"346" "6966.fastaAT2G14080.bed.fasta.70.txt" "green"
"347" "no" "blue"
"348" "no" "blue"
"349" "no" "blue"
"350" "no" "blue"
"351" "no" "blue"
"352" "no" "blue"
"353" "no" "blue"
"354" "no" "blue"
"355" "6979.fastaAT2G14080.bed.fasta.70.txt" "green"
"356" "no" "blue"
"357" "no" "blue"
"358" "6984.fastaAT2G14080.bed.fasta.70.txt" "green"
"359" "no" "blue"
"360" "no" "blue"
"361" "no" "blue"
"362" "no" "blue"
"363" "no" "blue"
"364" "6997.fastaAT2G14080.bed.fasta.70.txt" "green"
"365" "no" "blue"
"366" "no" "blue"
"367" "no" "blue"
"368" "no" "blue"
"369" "no" "blue"
"370" "7014.fastaAT2G14080.bed.fasta.70.txt" "green"
"371" "no" "blue"
"372" "no" "blue"
"373" "no" "blue"
"374" "no" "blue"
"375" "no" "blue"
"376" "no" "blue"
"377" "no" "blue"
"378" "no" "blue"
"379" "no" "blue"
"380" "no" "blue"
"381" "no" "blue"
"382" "no" "blue"
"383" "no" "blue"
"384" "no" "blue"
"385" "no" "blue"
"386" "7081.fastaAT2G14080.bed.fasta.70.txt" "green"
"387" "no" "blue"
"388" "no" "blue"
"389" "no" "blue"
"390" "no" "blue"
"391" "no" "blue"
"392" "no" "blue"
"393" "no" "blue"
"394" "no" "blue"
"395" "no" "blue"
"396" "no" "blue"
"397" "no" "blue"
"398" "no" "blue"
"399" "no" "blue"
"400" "no" "blue"
"401" "no" "blue"
"402" "no" "blue"
"403" "no" "blue"
"404" "no" "blue"
"405" "7147.fastaAT2G14080.bed.fasta.70.txt" "green"
"406" "no" "blue"
"407" "no" "blue"
"408" "no" "blue"
"409" "no" "blue"
"410" "no" "blue"
"411" "no" "blue"
"412" "no" "blue"
"413" "no" "blue"
"414" "no" "blue"
"415" "no" "blue"
"416" "no" "blue"
"417" "no" "blue"
"418" "no" "blue"
"419" "no" "blue"
"420" "no" "blue"
"421" "no" "blue"
"422" "no" "blue"
"423" "no" "blue"
"424" "no" "blue"
"425" "7217.fastaAT2G14080.bed.fasta.70.txt" "green"
"426" "no" "blue"
"427" "no" "blue"
"428" "no" "blue"
"429" "no" "blue"
"430" "no" "blue"
"431" "no" "blue"
"432" "no" "blue"
"433" "no" "blue"
"434" "no" "blue"
"435" "no" "blue"
"436" "no" "blue"
"437" "no" "blue"
"438" "no" "blue"
"439" "no" "blue"
"440" "no" "blue"
"441" "no" "blue"
"442" "no" "blue"
"443" "no" "blue"
"444" "no" "blue"
"445" "no" "blue"
"446" "no" "blue"
"447" "no" "blue"
"448" "7316.fastaAT2G14080.bed.fasta.70.txt" "green"
"449" "7319.fastaAT2G14080.bed.fasta.70.txt" "green"
"450" "no" "blue"
"451" "7322.fastaAT2G14080.bed.fasta.70.txt" "green"
"452" "no" "blue"
"453" "no" "blue"
"454" "no" "blue"
"455" "no" "blue"
"456" "no" "blue"
"457" "no" "blue"
"458" "no" "blue"
"459" "no" "blue"
"460" "7344.fastaAT2G14080.bed.fasta.70.txt" "green"
"461" "7346.fastaAT2G14080.bed.fasta.70.txt" "red"
"462" "no" "blue"
"463" "no" "blue"
"464" "no" "blue"
"465" "no" "blue"
"466" "no" "blue"
"467" "no" "blue"
"468" "no" "blue"
"469" "no" "blue"
"470" "no" "blue"
"471" "no" "blue"
"472" "no" "blue"
"473" "7382.fastaAT2G14080.bed.fasta.70.txt" "red"
"474" "no" "blue"
"475" "no" "blue"
"476" "no" "blue"
"477" "no" "blue"
"478" "no" "blue"
"479" "no" "blue"
"480" "no" "blue"
"481" "no" "blue"
"482" "no" "blue"
"483" "no" "blue"
"484" "no" "blue"
"485" "no" "blue"
"486" "7424.fastaAT2G14080.bed.fasta.70.txt" "green"
"487" "no" "blue"
"488" "no" "blue"
"489" "no" "blue"
"490" "no" "blue"
"491" "no" "blue"
"492" "no" "blue"
"493" "no" "blue"
"494" "no" "blue"
"495" "no" "blue"
"496" "no" "blue"
"497" "no" "blue"
"498" "no" "blue"
"499" "7523.fastaAT2G14080.bed.fasta.70.txt" "green"
"500" "no" "blue"
"501" "no" "blue"
"502" "no" "blue"
"503" "no" "blue"
"504" "no" "blue"
"505" "no" "blue"
"506" "no" "blue"
"507" "no" "blue"
"508" "no" "blue"
"509" "no" "blue"
"510" "no" "blue"
"511" "no" "blue"
"512" "no" "blue"
"513" "no" "blue"
"514" "no" "blue"
"515" "no" "blue"
"516" "8222.fastaAT2G14080.bed.fasta.70.txt" "green"
"517" "8227.fastaAT2G14080.bed.fasta.70.txt" "green"
"518" "8230.fastaAT2G14080.bed.fasta.70.txt" "green"
"519" "8231.fastaAT2G14080.bed.fasta.70.txt" "green"
"520" "8233.fastaAT2G14080.bed.fasta.70.txt" "green"
"521" "no" "blue"
"522" "no" "blue"
"523" "8236.fastaAT2G14080.bed.fasta.70.txt" "green"
"524" "no" "blue"
"525" "no" "blue"
"526" "8239.fastaAT2G14080.bed.fasta.70.txt" "green"
"527" "no" "blue"
"528" "8241.fastaAT2G14080.bed.fasta.70.txt" "green"
"529" "8242.fastaAT2G14080.bed.fasta.70.txt" "green"
"530" "no" "blue"
"531" "8244.fastaAT2G14080.bed.fasta.70.txt" "green"
"532" "no" "blue"
"533" "8247.fastaAT2G14080.bed.fasta.70.txt" "green"
"534" "8249.fastaAT2G14080.bed.fasta.70.txt" "green"
"535" "no" "blue"
"536" "no" "blue"
"537" "no" "blue"
"538" "no" "blue"
"539" "no" "blue"
"540" "no" "blue"
"541" "no" "blue"
"542" "no" "blue"
"543" "no" "blue"
"544" "no" "blue"
"545" "no" "blue"
"546" "no" "blue"
"547" "no" "blue"
"548" "no" "blue"
"549" "no" "blue"
"550" "no" "blue"
"551" "no" "blue"
"552" "8351.fastaAT2G14080.bed.fasta.70.txt" "green"
"553" "no" "blue"
"554" "no" "blue"
"555" "no" "blue"
"556" "8366.fastaAT2G14080.bed.fasta.70.txt" "green"
"557" "no" "blue"
"558" "no" "blue"
"559" "8386.fastaAT2G14080.bed.fasta.70.txt" "green"
"560" "8419.fastaAT2G14080.bed.fasta.70.txt" "green"
"561" "no" "blue"
"562" "no" "blue"
"563" "no" "blue"
"564" "no" "blue"
"565" "no" "blue"
"566" "no" "blue"
"567" "no" "blue"
"568" "no" "blue"
"569" "no" "blue"
"570" "no" "blue"
"571" "no" "blue"
"572" "9069.fastaAT2G14080.bed.fasta.70.txt" "green"
"573" "no" "blue"
"574" "9075.fastaAT2G14080.bed.fasta.70.txt" "green"
"575" "9078.fastaAT2G14080.bed.fasta.70.txt" "green"
"576" "no" "blue"
"577" "no" "blue"
"578" "9084.fastaAT2G14080.bed.fasta.70.txt" "green"
"579" "no" "blue"
"580" "no" "blue"
"581" "no" "blue"
"582" "no" "blue"
"583" "no" "blue"
"584" "9100.fastaAT2G14080.bed.fasta.70.txt" "red"
"585" "9102.fastaAT2G14080.bed.fasta.70.txt" "red"
"586" "no" "blue"
"587" "no" "blue"
"588" "no" "blue"
"589" "no" "blue"
"590" "no" "blue"
"591" "no" "blue"
"592" "no" "blue"
"593" "no" "blue"
"594" "no" "blue"
"595" "no" "blue"
"596" "no" "blue"
"597" "no" "blue"
"598" "no" "blue"
"599" "no" "blue"
"600" "9298.fastaAT2G14080.bed.fasta.70.txt" "green"
"601" "no" "blue"
"602" "no" "blue"
"603" "no" "blue"
"604" "no" "blue"
"605" "no" "blue"
"606" "no" "blue"
"607" "no" "blue"
"608" "no" "blue"
"609" "no" "blue"
"610" "no" "blue"
"611" "no" "blue"
"612" "no" "blue"
"613" "no" "blue"
"614" "no" "blue"
"615" "no" "blue"
"616" "no" "blue"
"617" "no" "blue"
"618" "no" "blue"
"619" "no" "blue"
"620" "no" "blue"
"621" "no" "blue"
"622" "no" "blue"
"623" "no" "blue"
"624" "no" "blue"
"625" "no" "blue"
"626" "9402.fastaAT2G14080.bed.fasta.70.txt" "green"
"627" "no" "blue"
"628" "no" "blue"
"629" "no" "blue"
"630" "9408.fastaAT2G14080.bed.fasta.70.txt" "green"
"631" "no" "blue"
"632" "9412.new.fastaAT2G14080.bed.fasta.70.txt" "green"
"633" "no" "blue"
"634" "no" "blue"
"635" "no" "blue"
"636" "9433.fastaAT2G14080.bed.fasta.70.txt" "green"
"637" "no" "blue"
"638" "no" "blue"
"639" "no" "blue"
"640" "no" "blue"
"641" "9451.fastaAT2G14080.bed.fasta.70.txt" "green"
"642" "9452.fastaAT2G14080.bed.fasta.70.txt" "green"
"643" "no" "blue"
"644" "no" "blue"
"645" "no" "blue"
"646" "9470.new.fastaAT2G14080.bed.fasta.70.txt" "green"
"647" "no" "blue"
"648" "no" "blue"
"649" "no" "blue"
"650" "no" "blue"
"651" "no" "blue"
"652" "no" "blue"
"653" "no" "blue"
"654" "no" "blue"
"655" "no" "blue"
"656" "no" "blue"
"657" "no" "blue"
"658" "no" "blue"
"659" "no" "blue"
"660" "no" "blue"
"661" "no" "blue"
"662" "no" "blue"
"663" "no" "blue"
"664" "no" "blue"
"665" "no" "blue"
"666" "no" "blue"
"667" "no" "blue"
"668" "no" "blue"
"669" "no" "blue"
"670" "no" "blue"
"671" "no" "blue"
"672" "no" "blue"
"673" "no" "blue"
"674" "no" "blue"
"675" "no" "blue"
"676" "no" "blue"
"677" "no" "blue"
"678" "no" "blue"
"679" "no" "blue"
"680" "9537.fastaAT2G14080.bed.fasta.70.txt" "green"
"681" "no" "blue"
"682" "no" "blue"
"683" "no" "blue"
"684" "no" "blue"
"685" "9543.fastaAT2G14080.bed.fasta.70.txt" "green"
"686" "no" "blue"
"687" "no" "blue"
"688" "no" "blue"
"689" "no" "blue"
"690" "no" "blue"
"691" "no" "blue"
"692" "9550.fastaAT2G14080.bed.fasta.70.txt" "green"
"693" "9551.fastaAT2G14080.bed.fasta.70.txt" "green"
"694" "no" "blue"
"695" "no" "blue"
"696" "no" "blue"
"697" "no" "blue"
"698" "no" "blue"
"699" "no" "blue"
"700" "no" "blue"
"701" "9559.fastaAT2G14080.bed.fasta.70.txt" "green"
"702" "no" "blue"
"703" "9561.fastaAT2G14080.bed.fasta.70.txt" "green"
"704" "no" "blue"
"705" "no" "blue"
