"V1" "V2"
"998" "no" "blue"
"999" "no" "blue"
"1000" "no" "blue"
"1001" "9962.fastaAT2G14080.bed.fasta.70.txt" "green"
"1002" "9963.fastaAT2G14080.bed.fasta.70.txt" "red"
"1003" "no" "blue"
"1004" "no" "blue"
"1005" "no" "blue"
"1006" "no" "blue"
"1007" "no" "blue"
"1008" "no" "blue"
"1009" "9982.fastaAT2G14080.bed.fasta.70.txt" "red"
"1010" "no" "blue"
"1011" "no" "blue"
"1012" "no" "blue"
"1013" "no" "blue"
"1014" "no" "blue"
"1015" "no" "blue"
"1016" "no" "blue"
"1017" "9995.fastaAT2G14080.bed.fasta.70.txt" "red"
"1018" "no" "blue"
"1019" "no" "blue"
"1020" "no" "blue"
"1021" "no" "blue"
"1022" "10001.fastaAT2G14080.bed.fasta.70.txt" "green"
"1023" "10002.fastaAT2G14080.bed.fasta.70.txt" "green"
"1024" "10004.fastaAT2G14080.bed.fasta.70.txt" "green"
"1025" "no" "blue"
"1026" "no" "blue"
"1027" "no" "blue"
"1028" "no" "blue"
"1029" "no" "blue"
"1030" "no" "blue"
"1031" "10012.fastaAT2G14080.bed.fasta.70.txt" "green"
"1032" "no" "blue"
"1033" "no" "blue"
"1034" "10015.fastaAT2G14080.bed.fasta.70.txt" "green"
"1035" "no" "blue"
"1036" "no" "blue"
"1037" "no" "blue"
"1038" "no" "blue"
"1039" "no" "blue"
"1040" "no" "blue"
"1041" "no" "blue"
"1042" "14313.fastaAT2G14080.bed.fasta.70.txt" "green"
"1043" "no" "blue"
"1044" "no" "blue"
"1045" "no" "blue"
"1046" "no" "blue"
"1047" "15560.fastaAT2G14080.bed.fasta.70.txt" "green"
"1048" "no" "blue"
"1049" "no" "blue"
"1050" "no" "blue"
