code,A,B,C,D
6180,1,0,0,0
6184,1,0,0,0
6188,1,0,0,0
6189,1,0,0,0
6191,1,0,0,0
6192,1,0,0,0
6193,1,0,0,0
6194,1,0,0,0
6195,1,0,0,0
6201,1,0,0,0
6202,1,0,0,0
6203,1,0,0,0
6209,1,0,0,0
6210,1,0,0,0
6214,1,0,0,0
6216,1,0,0,0
6217,1,0,0,0
6218,1,0,0,0
6220,1,0,0,0
6221,1,0,0,0
6231,1,0,0,0
6235,1,0,0,0
6237,1,0,0,0
6238,1,0,0,0
6240,1,0,0,0
6241,1,0,0,0
6242,1,0,0,0
6243,1,0,0,0
6244,1,0,0,0
6252,1,0,0,0
6255,1,0,0,0
6258,1,0,0,0
6268,1,0,0,0
6276,1,0,0,0
6284,1,0,0,0
6296,1,0,0,0
6390,1,0,0,0
6396,1,0,0,0
6413,1,0,0,0
6424,1,0,0,0
6434,1,0,0,0
6445,1,0,0,0
6739,1,0,0,0
6740,0,1,0,0
6744,0,1,0,0
6749,0,1,0,0
6750,0,1,0,0
6805,0,1,0,0
6806,0,1,0,0
6814,0,1,0,0
6830,0,1,0,0
6897,0,1,0,0
6898,0,1,0,0
6900,0,1,0,0
6901,0,1,0,0
6903,0,1,0,0
6904,0,1,0,0
6907,0,1,0,0
6908,0,1,0,0
6911,0,1,0,0
6913,0,1,0,0
6915,0,1,0,0
6917,0,1,0,0
6918,0,1,0,0
6919,0,1,0,0
6920,0,1,0,0
6922,0,1,0,0
6923,0,1,0,0
6924,0,1,0,0
6926,0,1,0,0
6927,0,1,0,0
6929,0,1,0,0
6931,0,1,0,0
6932,0,1,0,0
6933,0,1,0,0
6938,0,1,0,0
6940,0,1,0,0
6943,0,1,0,0
6944,0,1,0,0
6945,0,1,0,0
6951,0,1,0,0
6956,0,1,0,0
6957,0,1,0,0
6958,0,1,0,0
6959,0,1,0,0
6960,0,1,0,0
6961,0,1,0,0
6963,0,1,0,0
6966,0,1,0,0
6967,0,1,0,0
6968,0,1,0,0
6970,0,1,0,0
6971,0,1,0,0
6973,0,1,0,0
6974,0,1,0,0
6975,0,1,0,0
6976,0,1,0,0
6979,0,1,0,0
6981,0,1,0,0
6982,0,1,0,0
6984,0,1,0,0
6986,0,1,0,0
6987,0,1,0,0
6989,0,1,0,0
6990,0,1,0,0
6992,0,1,0,0
6997,0,1,0,0
7000,0,1,0,0
7002,0,1,0,0
7003,0,1,0,0
7008,0,1,0,0
7013,0,1,0,0
7014,0,1,0,0
7025,0,1,0,0
7026,0,1,0,0
7028,0,1,0,0
7031,0,1,0,0
7033,0,1,0,0
7036,0,1,0,0
7058,0,1,0,0
7061,0,1,0,0
7062,0,1,0,0
7064,0,1,0,0
7067,0,1,0,0
7068,0,1,0,0
7071,0,1,0,0
7072,0,1,0,0
7077,0,1,0,0
7081,0,1,0,0
7092,0,1,0,0
7094,0,1,0,0
7096,0,1,0,0
7102,0,1,0,0
7103,0,1,0,0
7106,0,1,0,0
7107,0,1,0,0
7109,0,1,0,0
7111,0,1,0,0
7117,0,1,0,0
7119,0,1,0,0
7120,0,1,0,0
7125,0,1,0,0
7126,0,1,0,0
7127,0,1,0,0
7130,0,1,0,0
7133,0,1,0,0
7143,0,1,0,0
7147,0,1,0,0
7158,0,1,0,0
7160,0,1,0,0
7161,0,1,0,0
7162,0,1,0,0
7163,0,1,0,0
7165,0,1,0,0
7169,0,1,0,0
7177,0,1,0,0
7181,0,1,0,0
7183,0,1,0,0
