Accession;Necrosis;Virus;per_nec_infected;per_nec_total;AUSIPS
9927;1;Evolved;1;1;73.875
9933;1;Evolved;1;0.875;51
9963;1;Evolved;1;1;69
9982;1;Evolved;1;0.625;47.75
9995;1;Evolved;0.857142857;0.75;54
9996;1;Evolved;1;0.75;50
6131;0;Evolved;0;0;19.625
992;0;Evolved;0;0;35.375
1063;0;Evolved;0;0;32.75
1257;0;Evolved;0;0;24.25
1313;0;Evolved;0;0;28
1317;0;Evolved;0;0;11.42857
5860;0;Evolved;0;0;12.25
4939;0;Evolved;0;0;16.625
5353;0;Evolved;0.142857143;0.142857143;30.57143
5577;1;Evolved;0.166666667;0.125;21.125
1552;0;Evolved;0;0;28.375
1622;0;Evolved;0;0;32
1652;0;Evolved;0;0;44
1684;0;Evolved;0;0;34
1739;0;Evolved;0;0;10.5
1741;0;Evolved;0;0;43.14286
1756;0;Evolved;0;0;45
1820;0;Evolved;0;0;31.625
1853;0;Evolved;0;0;37.125
1890;1;Evolved;0.25;0.25;36.25
2091;0;Evolved;0;0;29.875
1835;1;Evolved;0;0;32
1925;0;Evolved;0;0;47.25
2016;0;Evolved;0;0;29.125
2031;0;Evolved;0;0;9.375
2053;0;Evolved;0;0;19.28571
2106;0;Evolved;0;0;21.75
2108;0;Evolved;0;0;9.375
2141;0;Evolved;0;0;25.875
2166;0;Evolved;0;0;12.875
2285;0;Evolved;0;0;6.5
2317;0;Evolved;0;0;31.71429
4857;0;Evolved;0;0;6.5
5023;0;Evolved;0;0;16.625
5104;0;Evolved;0;0;30
5151;1;Evolved;1;0.75;38.625
5236;0;Evolved;0;0;32
6191;0;Evolved;0;0;9.875
6192;0;Evolved;0;0;4.625
6220;0;Evolved;0;0;8.25
6221;0;Evolved;0;0;8.5
6231;0;Evolved;0;0;0
6235;0;Evolved;0;0;9
6237;0;Evolved;0;0;29.5
6240;1;Evolved;1;0.25;13.25
6252;0;Evolved;0;0;0
6926;0;Evolved;0;0;22.75
6931;0;Evolved;0;0;21.875
6944;0;Evolved;0;0;24.125
6957;1;Evolved;0.2;0.125;19.375
6959;0;Evolved;0;0;18.75
6960;0;Evolved;0;0;0
6961;0;Evolved;0;0;18
6971;0;Evolved;0;0;24.375
7396;0;Evolved;0;0;18.5
8239;0;Evolved;0;0;4.375
7127;0;Evolved;0;0;9.125
8366;0;Evolved;0;0;12.375
8420;0;Evolved;0;0;12.75
8426;0;Evolved;0;0;18.25
8427;0;Evolved;0;0;31.125
9078;0;Evolved;0;0;19.375
9113;0;Evolved;0;0;11.625
9831;1;Evolved;0.6;0.375;30.75
9890;1;Evolved;0.125;0.125;38.5
9891;0;Evolved;0;0;31.125
