trait,component,Estimate,SE
AUDPS_Anc_21,h2_full,0.288473398468006,0.060144135281533534
AUDPS_Evo_21,h2_full,0.27412635825827514,0.0599456058096443
SYM_Anc,h2_full,0.22325610422593367,0.05850816079895837
SYM_Evo,h2_full,0.41211800725487135,0.058316705788820714
Infectivity_Anc_21,h2_full,0.10443482729683336,0.04794279414653161
Infectivity_Evo_21,h2_full,0.12885131145004833,0.051221640667039055
Necrosis_Anc,h2_full,0.2882620490945844,0.06011113061822677
Necrosis_Evo,h2_full,0.531748065507372,0.05200515666695609
