mac,mean_distance
93,2541.4486187225293
95,2444.831118939334
17,802.6899170741922
169,2452.6030595320976
24,1010.3349006445694
21,1206.9835001121617
15,1118.3108145004273
126,3231.0183872935645
50,2034.374725452459
12,911.6868512339272
11,1667.2304101105128
16,1932.5643657138037
27,822.8775505789033
49,1343.8027373049697
12,695.8683708242637
67,3294.3714433944206
22,541.5677594093561
133,1766.829551397502
36,1330.1335266607177
19,1139.7849455177252
156,2008.1876110908215
18,1066.9414733207698
15,2686.1213696984973
12,1783.8085372252508
57,1893.1198340452472
12,3244.6248144244673
16,1537.7765085854155
109,727.2518222827223
43,1724.3781455477244
11,4432.610211013977
67,1530.4890499220362
90,1894.9485783449384
122,1352.6234110984244
19,2676.045492967217
31,1893.4577929389263
66,2154.8947149648075
28,675.6044091255669
39,2062.4537004301833
67,2848.8604452498703
136,2916.0289987896945
149,1733.7079950958453
21,1786.9257571995436
15,872.791059587269
43,2627.0925196944304
13,83.24914726408304
171,1829.3553233456355
15,737.5887540427858
38,1191.105813031544
14,1366.7104596238898
10,191.64247024196345
174,1328.9762933045738
75,2436.679184721825
63,1663.4241978474797
15,2463.3662892641705
13,1392.089220966069
21,971.5328438785748
185,2147.055050593883
10,1133.2804613278715
18,2203.706270907148
61,1596.831224465309
44,21.45808271029672
11,561.7895716701463
68,2307.210906050825
14,2780.479679079268
11,2905.25282276991
179,2019.0107416008905
18,2128.8557264769233
26,1139.3561563259486
142,1384.7297595243558
137,2148.913217368352
45,2350.9965211839412
26,1480.3598178029035
14,1733.621737479882
10,1255.2924912164199
15,2587.37005032627
64,704.8129462107635
42,1803.9988784046905
11,168.5802755559404
52,1984.7711287388615
25,1437.2655549674428
90,1693.4272711159883
11,124.68074471452009
30,709.5711571407536
180,1762.0508961303756
58,410.2257474785368
27,1024.8530556915812
11,1058.6353555667206
55,1436.8087818778663
63,2183.559140329322
14,92.06140615651876
24,1825.8338942410196
159,4925.224729787316
10,296.1604896901402
17,255.01490171500143
39,1102.7134802013034
34,1144.2854074443298
98,2330.058712549396
32,767.1565066859363
93,1402.8054715768058
34,3275.8018890393228
23,1938.696173357181
14,727.1579742705418
13,209.61568897524404
120,1711.5283570312135
15,940.1710629397484
15,1189.219106928228
82,1661.7659359280606
93,924.575811729802
54,1631.2801268738085
18,1809.4194365784688
102,2035.0443307244357
167,1394.5478847680756
86,2281.8808956839216
25,1554.0653800584246
29,2711.3074002042695
25,1146.9776597239509
41,2019.2317149002324
49,3123.0522342426516
39,3952.9418881466563
18,1521.597241069476
142,2564.948830706991
68,3762.967339199108
127,1955.272550820773
64,2590.857546806384
17,979.5287537409383
24,1832.9124265675268
14,924.456947129093
93,2651.322297501303
10,328.2196116448471
151,3753.1945570744124
66,2720.0609239050323
55,1650.6816480864466
10,1049.3796691280734
38,933.7699952855139
127,2876.351749723052
18,415.73320365285
17,930.8425568120613
171,1360.931530935307
10,1.5496346593302124
18,930.621027344048
11,247.83486589027774
11,207.8818990579418
104,2068.448960440264
12,834.1906362024422
15,2346.3767308986803
62,3110.9979214335112
20,1165.054831068274
40,1661.8190874457132
16,1450.955739494115
11,439.3325494983152
41,2359.3713102839088
78,2719.3984780123096
18,696.5551401862638
70,2397.8565174783653
30,888.9553534174063
86,1154.778207782898
14,719.4285470562545
24,674.5931323463506
144,2200.977568170128
90,1975.2083492491934
13,324.93251160973654
11,1166.9152984237267
105,2495.0263399736227
17,2094.788650150736
12,1901.9062338100655
18,2929.254642521152
175,2383.9204560541584
23,718.2749081040431
131,2323.2250233569266
161,2792.7756328463834
12,1249.379320767248
16,3002.645206386956
89,1529.6062363993183
17,1472.0966601863202
9,809.3746247440306
55,1434.2812236442835
11,2025.9521808337147
26,1204.2936431388382
12,790.0854379102335
27,2149.1543818480486
38,837.4948692324954
31,1438.6402521528007
21,1804.6234870492503
130,1713.3077177485518
33,2041.4648134714441
87,2837.7524950716506
177,1878.9416261698098
118,2548.0384126140125
18,1703.564895843643
46,2650.440681396722
72,2777.1661735695857
64,1719.9893532975814
48,2296.884602185457
96,854.9616015057376
146,2387.5281265970907
45,3374.7923318953694
35,1175.4675393715384
17,2047.8508308550654
13,643.1171984034479
126,2074.988876838561
19,2206.09693146513
156,1989.1532232386207
81,2607.746025175269
37,2308.8304861784686
11,2002.5020971242755
51,2026.6580233227437
61,2076.088234366178
44,1617.3486827432614
22,422.2659943536939
157,2172.628917639033
35,982.9257453329946
106,1227.4207099377898
62,1712.7773910752965
101,1426.8714614406435
65,2181.1300477538994
15,686.0129623395972
11,238.08286621468645
50,1561.438759252997
109,2802.66281133618
59,1711.4782844509593
27,2017.3177648816493
19,1347.2434235843048
78,1483.2528412348497
17,473.30222765357956
10,1492.3150334335123
14,1523.8257033228797
17,1213.9669909663978
36,2445.7184413664245
111,2864.6068712319448
12,1776.496438129241
139,2391.2611665299164
12,168.4557243943641
20,2721.591012532677
18,1436.4405701233366
37,2464.0885090578395
22,1630.2105872883235
43,3215.3943111937874
32,2024.5581371540236
10,3068.249547624903
54,3913.891628458981
176,1781.5894125470393
28,806.0520570555683
129,2118.6636741441253
16,1556.5164932750474
20,1381.0594943095477
14,3328.4498256855773
36,2053.045743158094
75,1050.4426869963165
98,1714.1928674550634
19,383.57555743064955
20,2250.730793827154
111,1498.2021406282536
18,3151.524097161413
16,1922.1608761393318
43,1239.741527022645
33,2623.386145574863
103,1946.6295798080478
15,2302.287669958555
30,1528.2108577688327
18,448.3170652171802
72,2918.5211231275
173,2943.250250386523
40,1788.9829297816298
108,2201.3010281943584
47,1786.3459791564667
36,741.5706277823866
72,1365.0334144587052
48,1717.7040151065373
101,2566.159587850238
120,1631.172447146013
15,811.9709840791277
16,2439.730951137931
176,2167.1999773277284
169,2501.411118577068
38,1924.983186796244
109,1412.2612066414486
13,535.7969219361992
22,3503.5255534612024
34,290.648325238852
142,1204.5954069589825
22,1059.8854509397738
17,1107.482874594971
57,676.8615084368914
109,2164.928471579773
35,568.8686176526556
16,2445.9676785592087
132,1472.4139630599382
56,235.02426538549216
140,1747.7570955897995
20,2047.0739792406596
78,1247.3939530379141
14,1489.6109446708901
157,1661.0430559854815
40,3109.9544882890236
21,266.1369432713193
148,1987.5718288545418
30,2272.9485945844713
78,1507.263137833978
82,1660.109192760131
84,1678.3883417319144
12,796.898289967736
13,2169.7188742072935
59,2066.0370880256546
43,1984.1447193556498
10,204.96890470281613
32,3720.8737688122137
11,220.90555494760517
14,572.3029656854651
146,2194.635271981566
24,2301.5693383974644
15,3804.7128427531798
21,1070.8238755889952
90,3102.9517564720513
25,850.8038599358547
33,1815.5047172755187
134,1917.9306533223075
26,1919.7619544487586
105,3221.8111063164492
158,2063.46118372083
19,1154.9505760356217
14,2240.9060828210554
19,748.1513453758851
12,1615.8398084912903
77,1770.516411883711
108,1606.4910003818036
51,1388.8798214174853
12,777.0633149172372
27,210.20155999059304
19,709.3831866918639
16,335.2449018501884
100,2035.1146554493882
9,440.47077655001567
11,201.99270729924953
10,3021.118349127625
11,1007.5603179268566
23,2929.0377991162295
12,2079.8226634136677
13,839.2626799265634
34,2037.951791471864
60,3096.033667272037
17,1719.3173517803289
13,278.3670150361513
103,3255.5668199456936
16,1443.9153182788384
185,1319.2575129331028
30,2364.0259438602725
66,2426.575930138277
49,769.7147973859541
129,1602.7683307839545
25,2087.6668680187936
26,2163.471654629193
166,2675.67295069249
149,3702.8345980558624
58,1229.6828118511273
